Core,Workstream,Audiences ,Learning categories / Playbook Chapter Title,Asset Name,Description ,Asset type (drop-down),Asset Format,Staging Location,Future / Permenant Storage Location.,Dissemination Method (define if linked or described in playbook)
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,3/24/22 Community Connections Webpage Video,"Community health workers from Jefferson County General Health District (Steubenville, Ohio) share details on their community targeted strategy, citing that it was a combined effort to get to those who needed the resources to battle COVID. Angela Kirtdoll and Rachel Shorac share their work on building community response centers, utilizing those from churches, NAACP, beauty salons, barbershops, restaurants, and other social agencies. These organizations served as testing and vaccination champions. Statistics on the impact of their work in Jefferson County was also shared.",6) Other,Video,https://duke.box.com/s/xa6ku56dwwmnxcnpwniah50qv4mgybkb,https://youtu.be/T_pssd8RoPc,Playbook (linked)
Services,Communications,Community Audience,Communications and Dissemination ,Research Brief process,The process used by the CDCC to create research briefs from project publications with project buy-in.,1) Process (infrastructure),PDF Document,https://duke.box.com/s/v2cm8z0ngoiaxdrxanoalfpri10icr0j,NIH RADx Data Hub,
Services,Communications,Community Audience,Testing ,I’m Vaccinated – When do I Need to Get Tested for COVID-19? (English),"This flyer, based on CDC guidance, addresses specific reasons to get tested for COVID-19. Available in English and Spanish.",5) Reference/tool,PDF Document,https://duke.box.com/s/71cdsy50lrb24odhmy7ssx84f39k9now,NIH RADx Data Hub,Playbook (appendix) 
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,5/26/22 Community Connections Webpage Video,"Community partner Lisa Diane White from SisterLove, Inc. shared nuggets from work with partner university (Georgia State University) on understanding barriers to participation in COVID 19 testing among Black communities. As their project aimed to uncover Black Americans' approach on COVID testing, findings reflected key reasons for agreeing to take the blood test were (1) family, community & social responsibility, (2) curiosity, (3) health upkeep, and (4) importance of research. Findings reflected the following key reasons for not taking the blood test: (1) fear of the known and unknown, (2) fear of needles/blood, (3) discomfort with the testing setting, and (4) unnecessary/ no benefit.",6) Other,Video,https://duke.box.com/s/6q2ym4cv0j165tzo64oomhqhuqr1f5w8,https://youtu.be/7XzMPVBiHvI,Playbook (linked) 
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,9/22/22 Community Connections Webpage Video,"Community partner Rev. Donald Wright from Mt. Lebanon Baptist Church (West Baltimore) shared his perspective on faith institutions not solely being a spiritual institution but that they are a place of connectivity and serve to engage in holistic strategies to meet the physical, mental, and emotional needs of their communities. Strong partnerships within the community alongside their operating model (centered on sustainability, trust, and community engaged partnerships) has bridged much needed gaps to inform people on the how/why of research being done, and what the information is/will be used for. ",6) Other,Video,https://duke.box.com/s/938tkrcv07k133ppe2elqkom881p0bve,https://youtu.be/XBRMBCBdFzs,Playbook (linked)
Services,Communications,Community Audience,Communications and Dissemination ,Social media sites,Twitter (X)  ,5) Reference/tool,Social Media,N/A,https://x.com/RadxUp,Playbook (referenced) 
Services,Communications,Community Audience,Communications and Dissemination ,Social media sites,LinkedIn,5) Reference/tool,Social Media,N/A,https://www.linkedin.com/company/radx-up/,Playbook (referenced) 
Services,Communications,Academic Audience,Community of Practice,About the CDCC Video: Explore the RADx-UP Resource Center,RADx-UP Coordination and Data Collection Center - Core Explainer Videos; one of the six available videos. ,5) Reference/tool,Video,https://duke.box.com/s/0imo975gtp8f2u3gmrgynqcprhjxmtab,https://youtu.be/MTPEpGGJ4M8,Playbook (linked)
Services,Communications,Academic Audience,Community of Practice,"About the CDCC Video: RADx-UP CDCC Administration, Communications, and Strategy Core",RADx-UP Coordination and Data Collection Center - Core Explainer Videos; one of the six available videos. ,5) Reference/tool,Video,https://duke.box.com/s/28i4y2kevgl5a1j9nuqrgrgaoh7s75vd,https://youtu.be/9c5-YhjPvfk,Playbook (linked)
Services,Communications,Academic Audience,Community of Practice,About the CDCC Video: RADx-UP CDCC Community Engagement Core,RADx-UP Coordination and Data Collection Center - Core Explainer Videos; one of the six available videos. ,5) Reference/tool,Video,https://duke.box.com/s/3trtpuv5hx7b1esgpurc229jzyts2bkh,https://youtu.be/x3IsN9SkCzg,Playbook (linked)
Services,Communications,Academic Audience,Community of Practice,About the CDCC Video: RADx-UP CDCC COVID-19 Testing Core,RADx-UP Coordination and Data Collection Center - Core Explainer Videos; one of the six available videos. ,5) Reference/tool,Video,https://duke.box.com/s/yur5xaf4f65pzgn2bpbwhibr8fxnexqb,https://youtu.be/gl5INORU9fI,Playbook (linked)
Services,Communications,NIH (Funder) Audience ,Capacity Building and Community Engagement,Community Engagement Framework,"The guide serves as an internal working document, to support interactions, processes, initiatives, etc. both internally and externally, recognizing that the audience will
vary depending on the situation or need.",5) Reference/tool,PDF Document,https://duke.box.com/s/jvqhxmqwdmxn0bzb22wo9u1kttzisrj2,NIH RADx Data Hub,Playbook (appendix)
Services,Communications,Academic Audience,Community of Practice,About the CDCC Video: RADx-UP CDCC Data Science & Biostatistics Core,RADx-UP Coordination and Data Collection Center - Core Explainer Videos; one of the six available videos. ,5) Reference/tool,Video,https://duke.box.com/s/qh4yhqvn03hht1jabyb0a0mpzba1mvy4,https://youtu.be/ZahH2CsIGcc,Playbook (linked)
Services,Communications,Academic Audience,Community of Practice,About the CDCC Video: RADx-UP Working Groups,RADx-UP Coordination and Data Collection Center - Core Explainer Videos; one of the six available videos. ,5) Reference/tool,Video,https://duke.box.com/s/w1zjeuwspi1fhptspkzt3ltuqbkqryur,https://youtu.be/CInbSIr9jZg,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Capacity Building and Community Engagement,CHW In-depth interview with Satta Johnson ,"RADx-UP Working Groups hosted a CHW Symposium welcoming over 70 CHWs for a dual language virtual event, that included in-depth audio interviews with CHWs from across the country to understand the perspectives and challenges of the job. These audio interviews added more context to the evidence that CHWs are powerful and critical to health equity. ",4) Recommendation or guidance,Video,https://duke.box.com/s/6c38d5r9d3pg4ztq7t0kkuhf0ffr2sax,https://youtu.be/anI2MZW_DQQ,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Capacity Building and Community Engagement,CHW In-depth interview with Shnika Spearman ,"RADx-UP Working Groups hosted a CHW Symposium welcoming over 70 CHWs for a dual language virtual event, that included in-depth audio interviews with CHWs from across the country to understand the perspectives and challenges of the job. These audio interviews added more context to the evidence that CHWs are powerful and critical to health equity. ",4) Recommendation or guidance,Video,https://duke.box.com/s/59ideit54so3x10gc7f4d73fvb4tw6kx,https://youtu.be/3ZWc1WNoxN4?si=kv2w9Xvxu03apS-F,Playbook (linked)
Community Engagement Core,Community Collaboration Grant (C2G),Community Audience,Capacity Building and Community Engagement,Community Collaboration Grants (C2G) - Grant Application Webinar Series Part 1,This 3-part webinar series was developed to give community partners a step-by-step guide on writing and submitting grant applications.,2) Training,Video,https://duke.box.com/s/l5u7uqq6hujys2bvld3a4fn8tymzxqd8,https://youtu.be/bxbHo5yW34E,Playbook (linked)
Community Engagement Core,Community Collaboration Grant (C2G),Community Audience,Capacity Building and Community Engagement,Community Collaboration Grants (C2G) - Grant Application Webinar Series Part 2,This 3-part webinar series was developed to give community partners a step-by-step guide on writing and submitting grant applications.,2) Training,Video,https://duke.box.com/s/5gzxsu07hiswc7csiuvkcvyycbu934hq,https://youtu.be/sqJKU75rgY4,Playbook (linked)
Community Engagement Core,Community Collaboration Grant (C2G),Community Audience,Capacity Building and Community Engagement,Community Collaboration Grants (C2G) - Grant Application Webinar Series Part 3,This 3-part webinar series was developed to give community partners a step-by-step guide on writing and submitting grant applications.,2) Training,Video,https://duke.box.com/s/xdb1gbu0t16km5kjkjtfs40j3x6jcu8p,https://youtu.be/4RgjhGzfA4E,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Communications and Dissemination ,Diversity in Messaging - Ian Knight (video) ,"Ian Knight is the Communications Coordinator for the Kansas University Medical Center communications team (Crystal Lumpkins, Dr. Yvonnes Chen, Mariana Ramirez LCSW, and Mariana Hildreth) creating strategic communication strategies and content to support county-related health initiatives. His presentation hones in on the structure of effective messaging—audience identification, message evaluation using quantitative and qualitative methods, unique campaigns—for the diversity of populations throughout Kansas.",4) Recommendation or guidance,Video,https://duke.box.com/s/9jdel9iflfyrsr6203kvrwkduil3ihr5,https://youtu.be/qJABlKF3D1s,Playbook (linked) 
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Fourth Equity Evidence Academy Webpage: Community-driven Optimization of COVID-19 testing to Reach and Engage underserved Areas for Testing Equity (CO-CREATE),One of three videos from library from keynote remarks and other presentations,5) Reference/tool,Video,https://duke.box.com/s/mozkwes48toogtk5zkbuc5do60ysxnc9,https://youtu.be/zhCI0ozaHDo?si=HPNs7kAH2yxVxqsq,
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Fourth Equity Evidence Academy Webpage: COV-IDD: Testing for COVID-19 in High-Risk Children with Intellectual and Developmental Disabilities,One of three videos from library from keynote remarks and other presentations,5) Reference/tool,Video,https://duke.box.com/s/h4t72egi07ngjr42sxggv4rbexh9clt9,https://youtu.be/06YTUk9S9sY?si=6MMzVclTquaRF6na,Playbook (linked) 
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Fourth Equity Evidence Academy Webpage: NJ HEROES TOO: Interview,One of three videos from library from keynote remarks and other presentations,5) Reference/tool,Video,https://duke.box.com/s/gh5vtk6ue95jiuyx50jm9dywdcr7rrom,N/A,
Community Engagement Core,Working Groups ,Community Audience,Testing ,How to Read Results of Your FlowFlex COVID-19 Rapid At-home Test,"A video of ""how to test""; specifics in title. Note that these were accurate when they were made, tests may change over time. ",5) Reference/tool,Video,https://duke.box.com/s/zxoqpd4oy6j5g9trwv4qz9htucaamt7q,https://youtu.be/rG0Qf0AXlM8,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Testing ,How to Test with a FlowFlex COVID-19 At-Home Test,"A video of ""how to test""; specifics in title. Note that these were accurate when they were made, tests may change over time. ",5) Reference/tool,Video,https://duke.box.com/s/igiw4drqpvze2342cjn749jeqnro8gcj,https://youtu.be/ANeR0iyixYs,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Testing ,How to Test with a FlowFlex COVID-19 At-Home Test for Ages 2-13 Years,"A video of ""how to test""; specifics in title. Note that these were accurate when they were made, tests may change over time. ",5) Reference/tool,Video,https://duke.box.com/s/8zht952nfh6u6pxl5tl8t807zsaesxyq,https://youtu.be/ANeR0iyixYs,Playbook (linked)
Community Engagement Core,Community Campus Partnerships for Health (CCPH),Academic Audience,Capacity Building and Community Engagement,CCPH Office Hours Flowchart ,Consulting services for RADx-UP Community Partnerships; this document is a flowchart with information about CCPH and the process for office hours. ,1) Process (infrastructure),PDF Document,https://duke.box.com/s/trfo1bmdb9gcqhjl31svokxjh1chyamt,https://ccphealth.org/ccphs-radx-up-training-and-office-hours-information/,Playbook (appendix)
Community Engagement Core,Community Collaboration Grant (C2G),Academic Audience,Program Evaluation ,Community Collaboration Grants (C2G) Interview Guide,The interview guide was used to evaluate the longer-term impacts of C2G projects 18-months after completion.,3) Template,PDF Document,https://duke.box.com/s/989wzvsv6sath9d9qe6dzhk71yguxoep,NIH RADx Data Hub,
Community Engagement Core,Community Collaboration Grant (C2G),Academic & NIH (Funder Audience),Program Evaluation ,RADx-UP Community Collaboration Grant Program Success and Insights from 2020 to 2024,"A 29 page pamphlet explaining The Community Collaboration Grant (C2G) program, 2020-2024, created under the Rapid Acceleration of Diagnostics in Underserved Populations Coordination and Data Collection Center (RADx-UP CDCC). Charged with expanding the geographic and population-specific reach of the RADx-UP program (Figure 1), the C2G program supported community partners in advancing capacity, training, support, and community experience with COVID-19 testing initiatives among communities adversely affected by COVID-19.",4) Recommendation or guidance,PDF Document ,https://duke.box.com/s/5qkvdvulfnixo651t9mol3hmzia4cjha,NIH RADx Data Hub,
Services,Communications,Community Audience,Communications and Dissemination ,Keeping children safe in school: Lessons learned in the COVID-19 pandemic,Summary video about the Lessons Learned from the COVID-19 Pandemic. ,4) Recommendation or guidance,Video,https://duke.box.com/s/s14fity2mm4u4smmtc5r4lqi8bw7t5po,https://youtu.be/fstfaEKXOqQ,Playbook (linked)
Services,Communications,Academic Audience,Policy and Practice ,Levers & Foundational Components,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/vdvmom433kce8c0uomif8jwojs5bvf11,https://youtu.be/PdGPcdE1Rww,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Native Hawaiian and Pacific Islander COVID-19 Dissemination Webinar,Webinar hosted by Papa Ola Lokahi and the Native Hawaiian and Pacific Islander COVID-19 Response Team to help Puipuia le Ola staff to share the study's findings with scholars and community health leaders. Easily accessible dissemination of project findings in the Pacific Islander-Native Hawaiian communities,5) Reference/tool,Video,https://www.youtube.com/watch?v=2bxL9fbri7Q,https://youtu.be/oh-nhZ3mWXs,Playbook (linked)
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,2/23/23 Community Connections Program,"Community partners Sandy Aguilar and Mari Jo Turner from Hispanic League shared strategies on how they connect with Hispanic/LatinX communities, their successes with novel educational and community service programs, and suggestions to improve social engagement amongst Hispanic and LatinX older adults. Partners also shared key results in the uptake of COVID19 testing, vaccination, and booster uptake within Latinos within the US.",6) Other,PDF Document ,https://duke.box.com/s/hqusfkh7ce4ixsg4qdeev68yrosdxw12,NIH RADx Data Hub, 
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,2023 Community Connections flyer/informational,Flyer to advertise to community partners ,5) Reference/tool,Flyer,https://duke.box.com/s/ds35jizhge2crrvq34vuug4clzqajo37,NIH RADx Data Hub, 
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,5/25/23 Community Connections Program,"Community partners Norima Chirinos from Latino Health Access and Jose Rea and Teresa Campos from GREEN-MPNA (non profit organizations in Santa Ana, Orange County, California) shared their success and challenges  faced when confronted with a global pandemic. Programs such as promotoras engagement, food assistance programs, and mental health talks contributed to healthier local communities.",6) Other,PPT Slides,https://duke.box.com/s/csttwgxe9arf6dwwcsp2fdcwobcp36du,NIH RADx Data Hub, 
Services,Communications,Academic Audience,Policy and Practice ,Part 1: Access,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/u8yem6yjp4iradfnpsz3ene02ll7c5rf,https://youtu.be/m4JnseeoeIQ,Playbook (linked)
Services,Communications,Academic Audience,Policy and Practice ,Part 2: Resource Allocation,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/e9bwc1wc9jq99bo22b28ni6ma565wpwf,https://youtu.be/XOjlW2I-1E4,Playbook (linked)
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,Community Connections call for nominations/presenters ,Script available to use when requesting community partner attendance/engagement at Community Connections,3) Template,Word Document,https://duke.box.com/s/pl6yebbqcxhzn9n1467hlcvxsbkfuoyq,NIH RADx Data Hub, 
Community Engagement Core,Community Connections,Community Audience,Best Practices for Conducting Community Engaged Research,Community Connections Interest Script,Script available to use when announcing Community Connections exists and for partners to attend,3) Template,Word Document,https://duke.box.com/s/a6f5bkjwuxpsnhkjjxqui03ubpbmjui7,NIH RADx Data Hub, 
Community Engagement Core,Community Connections,NIH (Funder) Audience ,Best Practices for Conducting Community Engaged Research,Community Connections Q4 2022 Report,Captures high-level information on the accomplishments and activities of the Community Connections workstream within the time period.,5) Reference/tool,PDF Document,https://duke.box.com/s/vuuv609aam1gigbh43w1f76ndr2y6i9w,NIH RADx Data Hub,
Community Engagement Core,Community Engagement Metrics,Academic Audience,Best Practices for Conducting Community Engaged Research,Community Engagement Categorization Tool,Definitions of different categories of community partner engagement developed as part of the CE Metrics workstream,5) Reference/tool,Word Document,https://duke.box.com/s/tx39jn9ona7ez561p44pdkfrwlh4qomi,NIH RADx Data Hub,Playbook (referenced)
Community Engagement Core,Engagement Impact Teams (EIT),Academic Audience,Community of Practice ,EIT Community Engagement Tasks,Task list describing all EIT tasks related to community engagement with projects,1) Process (infrastructure),PDF Document,https://duke.box.com/s/dcig562ndhxjv05c02k11iqakofda7l9,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Academic Audience,Best Practices for Conducting Community Engaged Research,AAMC Center for Health Justice Community Engagement Toolkits,"This toolkit of materials is for organizations to download and use to facilitate discussions within their communities, develop relationships with a broad coalition, and track lessons learned. It includes the kinds of questions, discussions, and activities that will help an organization and its community to unpack the Principles of Trustworthiness, explore how they come to life locally, and determine what local actions might be taken to demonstrate trustworthiness. Contribution to community/academic partnership best practices. This is a trusted external resource selected for the Engagement Resource Center not created with RADx-UP funds.",4) Recommendation or guidance,Website,N/A,https://www.aamchealthjustice.org/our-work/trustworthiness/trustworthiness-toolkit,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,"Assessment of Racial and Ethnic Disparities in Access to COVID-19 Vaccination Sites in Brooklyn, New York (English)","Research brief (English): summarizes an article from researchers from the New York University Grossman School of Medicine. This cross-sectional study evaluated the number of vaccination sites in Brooklyn, NY. Researchers wanted to see if there was a relationship between access to vaccines and vaccination status. The analysis suggests disparities exist in access to vaccination sites. Areas of high poverty lack access to ample vaccination resources in comparison to other areas. White, middle-to-upper class neighborhoods have the most access to COVID-19 vaccination sites. These patterns of access and inequities are driven by structural determinants which have long existed in Black, Latinx, and low-income communities. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/vx0hve7q08qvvgsm4kcdk4dhqj60lpxi,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,"Assessment of Racial and Ethnic Disparities in Access to COVID-19 Vaccination Sites in Brooklyn, New York (Spanish)","Research brief (Spanish): summarizes an article from researchers from the New York University Grossman School of Medicine. This cross-sectional study evaluated the number of vaccination sites in Brooklyn, NY. Researchers wanted to see if there was a relationship between access to vaccines and vaccination status. The analysis suggests disparities exist in access to vaccination sites. Areas of high poverty lack access to ample vaccination resources in comparison to other areas. White, middle-to-upper class neighborhoods have the most access to COVID-19 vaccination sites. These patterns of access and inequities are driven by structural determinants which have long existed in Black, Latinx, and low-income communities. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/93wbzyv7vx7p1ahoxwky1wme7p2y8oss,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Caregiver perceptions of in-home COVID-19 testing for children with medical complexity: A qualitative study (English),Research brief (English): Researchers from Wisconsin worked to understand caregivers' perceptions of in-home COVID-19 testing. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/lcgt5x1ctqaq9g7hv5v17d7462zhruz4,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Caregiver perceptions of in-home COVID-19 testing for children with medical complexity: A qualitative study (Spanish),Research brief (Spanish): Researchers from Wisconsin worked to understand caregivers' perceptions of in-home COVID-19 testing. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/ppuq16h3p7frhputt0o1xz6yt8hrpptf,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Census Tract Patterns and Contextual Social Determinants of Health Associated With COVID-19 in a Hispanic Population from South Texas: A Spatiotemporal Perspective (English),"Research brief (English): This study from the team at the University of Texas Health Science Center at Houston examined patterns, at the census tract level, of COVID-19 infection among Mexican-Americans living in Texas on the US-Mexico border. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/qed203lqr2694ail6nbtmj49pt38utzq,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Census Tract Patterns and Contextual Social Determinants of Health Associated With COVID-19 in a Hispanic Population from South Texas: A Spatiotemporal Perspective (Spanish),"Research brief (Spanish): This study from the team at the University of Texas Health Science Center at Houston examined patterns, at the census tract level, of COVID-19 infection among Mexican-Americans living in Texas on the US-Mexico border. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/fgihcyyzawgx5c9f0o67f2btmvksqy0z,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Capacity Building and Community Engagement,"Center for Community Health Alignment: Community Health Worker Model Best Practice Toolkit for Designing, Implementing and Showing Impact",A series of toolkits have been developed in collaboration with Community Health Workers and CHW allies with extensive expertise in CHW model implementation in both community-based and healthcare settings.Contribution to best practices for engaging with community health workers. This is a trusted external resource selected for the Engagement Resource Center not created with RADx-UP funds.,5) Reference/tool,Website,N/A,https://communityhealthalignment.org/chw-toolkit/,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Communicating about COVID-19 Vaccinations: Recommendations for Hawaiʻi,"Now that COVID-19 vaccines are more readily available, the next major public health challenge facing the state is getting people vaccinated. According to a recent study by a team of researchers led by the UH Mānoa College of Social Sciences (CSS) as part of their Health Policy Initiative, targeted communications strategies may hold the key to encouraging more eligible people to get vaccinated. This page includes a full report and accompanying webinar. These recommendations will continue to be applicable for future research in Hawaii",4) Recommendation or guidance,Website / Blog,https://socialsciences.manoa.hawaii.edu/research-and-innovation/emerging-issues/the-social-sciences-effect/,https://radx-up.org/resource-type/reports/communicating-about-covid-19-vaccinations-recommendations-for-hawai%ca%bbi/,Playbook (linked)
